seed,best_loss,param_c_kAQ,param_c_kAP,param_c_kQA,param_c_kMyo,param_c_kPQ,param_c_kPT,param_c_kPSC,param_c_kTM
149,14.00925603,0.01219395583,0.9155916498,1.30099288,103.3859607,9.14351087,7.001344991,10.88573008,0.4547849273
150,6.526222733,0.2055179121,0.1687038446,0.1456012805,699.9743746,0.61577677,3.26369541,3.707937875,0.397828185
151,11.44213024,7.509469324,1.809561875,11.3964775,182.515792,6.993080807,3.532967643,4.870674256,0.4948429378
152,11.32897896,8.651472655,4.632237171,17.40312896,157.7076361,17.49633132,3.42334259,4.915285623,0.5229659733
153,6.861739276,0.2168591056,0.1538046398,0.1553718153,267.6760891,0.4929053691,2.793215048,3.449965378,0.4267220331
154,6.533533676,0.1827612359,0.1817438515,0.1221902064,1144.964135,0.635052899,3.245710138,3.59572886,0.3796427647
155,29.16276836,0.001413441006,0.8563529788,106.6391087,64.31164034,5.2288595,5.462611698,7.12299672,0.6119076548
156,11.38362694,0.02366463557,5.894518981,7.009676779,180.5263588,19.70459848,3.114489806,4.288612327,0.4770679123
157,11.8538223,7.772611389,21.76479051,26.92477173,760.5638547,71.09785486,3.48969635,4.002116387,0.3974490174
158,12.03835627,4.3467118,0.814372737,7.097879329,179.3932066,4.225307936,4.352642566,6.018039208,0.5044850819
159,12.65190365,124.2605939,2.217106448,140.5662916,343.0306267,13.83135244,6.12774802,7.479066437,0.4563762329
160,6.589240548,0.167721241,0.1926745195,0.109184556,2972.48015,0.6565539755,3.245356927,3.5110557,0.3642503204
161,11.63098636,0.05954704247,1.912292427,2.092479065,300.4223526,7.884936481,3.864840404,4.829618519,0.433446557
162,12.08303447,11.13306975,5.51704243,14.5748283,5033.544693,18.6824159,3.575765121,3.92497017,0.3720558609
163,6.533426003,0.1934693478,0.1788929004,0.1399532348,909.2511428,0.6458741633,3.253608907,3.650228992,0.3868434265
164,6.519332751,0.1917700715,0.172408202,0.1317757523,745.5749299,0.6189989556,3.23257919,3.655245061,0.3916089844
165,6.532097558,0.1870194304,0.1797172582,0.135472482,823.2431269,0.6459911173,3.202210283,3.611105219,0.3849414826
166,10.81071775,12.70490316,0.2693550888,14.65556694,223.5361824,0.9619379459,3.140487632,4.133061565,0.5109335984
167,16.66866822,1.421722904,6.600650601,46.88653507,51.13307696,24.92004497,2.676736164,6.420116788,1.537525971
168,11.35420624,22.46246236,8.419505519,37.86262024,179.1633993,32.93433445,3.707007716,5.141743104,0.5092087187
169,11.33361882,111.7248134,13.58311967,158.7690714,171.6368319,53.50879941,3.722648149,5.221894809,0.5208949347
170,6.588714325,0.2133444194,0.151275283,0.1395272502,406.0313641,0.5342309317,3.182910841,3.744588465,0.4206124687
171,6.659993619,0.1437505914,0.2040112571,0.1122625094,3822.941684,0.7388205388,3.240608328,3.52505803,0.3578767164
172,34.11945123,2.154730283,51.26934965,0.0439331693,3.687752962,11.05426856,27.09116535,0.10171012,0.02664039262
173,12.16473253,21.33140268,0.9743814833,19.58855689,974.4506409,3.015673272,3.142477502,3.570131418,0.3883078492
174,34.06995999,0.2429959342,749.6443582,0.05280690186,4.152902475,29.5604529,62.97675343,0.4773604431,0.03220451246
175,6.531101933,0.2153298707,0.1660509678,0.1535875457,607.0028831,0.592715808,3.21433189,3.680772129,0.4043680492
176,11.55856366,12.21530527,1.221056515,14.20775617,282.9301436,4.392843155,3.4681875,4.389114205,0.4508154184
