name,value
c_NMd,1.1799999332882343e-05
c_Nin,1.3800002824077802
c_Nout,3.100000055834296
c_M1Nd,9.17000054642606e-05
c_Min,28.099945899333658
c_MM1,5.8100020253245766e-05
c_Mout,23.09995907128929
c_M1out,0.04290003210815236
c_M1M2,547.9999532548755
c_M2inhib,4.6137234589198826e-12
c_M2out,0.11799999598845377
c_QSCN,5.220992497951093e-06
c_QSCMd,0.00020899963624470565
c_ASCM2,0.008380007460944118
c_ASCpro,4.280166502449611e-05
c_ASCdiff,0.0072399979972888875
c_ASCout,0.00016081575110570487
c_Mcout,3.7071713753636904e-06
c_Mcfusion,4.010001176773051
c_Mdout,0.0009810001656661226
c_QSCself,0.09629670285150967
c_Mnself,9.38999808667877e-05
QSCmax,2699.998526702382
