sample_id,t,M_d,QSC,ASC,M_c,M_n
0,0.0,30000.0,2700.0,0.0,0.0,0.0
0,0.18885069963470924,20619.111313202295,1622.101882970195,207.8724168297543,0.24341893006083495,0.09232733123557213
0,0.3011427568155677,16498.715179653598,1360.5874688674362,138.29801488207042,0.26487477827396144,0.18678697726769608
0,0.4061010474741264,13394.847947448265,1189.7511552644464,97.44294486899666,0.24520781688512067,0.2683498102010203
0,0.7500821192342082,6766.270247725938,888.6434496729014,36.19106196757323,0.135164171477352,0.45286569782976055
0,1.1239087924175248,3220.6011562579442,757.777827810599,14.593049797614512,0.059705231780934974,0.5612345817520689
0,1.405899525147679,1839.8343648852228,711.6347177849971,7.832288483403145,0.03176736657495194,0.6110728843128775
0,1.7247484934428785,976.9358258987437,683.9524913728409,4.021540940203129,0.0157722283938733,0.640228851328349
0,1.9878359908825054,579.3909985878241,671.3953907527907,2.367356151513822,0.008994688507263234,0.6529452494486899
0,2.368357718018836,272.1483089260974,661.6248849714592,1.1316063287619997,0.004106663844928709,0.6624327592813594
0,2.7131137842552957,137.25892357834903,657.1656216013962,0.6007546858075412,0.002082403904145381,0.666542375295181
0,2.8139353343063402,112.36806667657314,656.3016071773258,0.5035840841891783,0.001718645484111349,0.6673078104594963
0,3.171156617282611,55.28146518507423,654.1747122850097,0.2816677791906617,0.0008975338413641429,0.6691104843093768
0,3.2812322898742505,44.425175118107234,653.7210659261423,0.23961721933213054,0.0007436456349840612,0.6694715230115281
0,3.6001289238032337,23.58484429494127,652.7238307776713,0.1590337897217366,0.00045050980308213614,0.6702150765553213
0,3.752825609984001,17.415822135243737,652.3600141536134,0.13521451821787023,0.0003643542135232005,0.6704632242426188
0,4.111779286688967,8.538584678289984,651.6724416219959,0.10096096578851306,0.00024091616457377112,0.6708883116904892
0,4.374217652763695,5.071294543338148,651.2598435038918,0.08758277334959605,0.00019288235788686203,0.6711143600044498
0,4.56413121992491,3.4777977687595776,650.9885707360908,0.08142994318361155,0.00017083709052132618,0.6712523407911511
0,4.790937386284208,2.2172244899970472,650.6837850533478,0.07655565002853522,0.00015340432353521278,0.6713991797565471
0,4.899433287627847,1.7874889816539525,650.5431700468685,0.07489079343587055,0.00014745995056188063,0.6714645825620545
0,5.036718270577717,1.3610188942027408,650.3687605956547,0.07323537055504684,0.00014155734682603152,0.6715440622792647
0,5.337905594985806,0.7484198923956182,649.9958515155598,0.07084565634543247,0.0001330620666005252,0.6717093940823129
0,5.632062448458081,0.417262001696155,649.6397561489782,0.0695384132484842,0.0001284447269018924,0.6718633691727228
0,5.916677981902458,0.23712216255851853,649.2995445563745,0.068812371684276,0.00012590720869467783,0.6720083837669619
0,6.1317812481810225,0.15471612587351607,649.044130131122,0.06846995460221275,0.0001247282155490555,0.672116442974109
0,6.530944228917786,0.07002612662295866,648.5724436068153,0.06809634136874872,0.00012347772748192362,0.6723149663416887
0,6.925194830550655,0.032011789344526594,648.1082453806748,0.0679023411770892,0.00012286914132207433,0.672509643404928
1,0.0,37896.7263926288,2621.344663529653,384.4227036913729,786.2915141158682,3010.418998328895
1,0.45532149338747147,15345.134789009486,976.7619244237727,92.08187514501863,126.9543083512734,1581.8237989963015
1,0.7618555125587535,8349.32853452262,719.3301846142134,36.280168889694245,37.21143493085108,1317.8350453032483
1,0.9785319397524845,5430.051938046642,631.5708119738092,20.581918807303285,15.635087458279505,1240.9431132245438
1,1.119060891259208,4107.908507127973,595.1178831150783,14.63583098224517,8.91281124255608,1219.4678016404127
1,1.4355073933174325,2191.400558269498,545.5978853981712,7.148127484491678,2.5177577651114547,1216.3838222634854
1,1.6931136900601502,1313.9915008178318,524.113375321766,4.129697075549885,0.9023693867959219,1218.0094488634982
1,1.886186252727837,895.5723691612402,514.0799562039167,2.774832192900498,0.41928223605972337,1218.497294703413
1,2.131936860377374,549.7395221200162,505.84250319734286,1.694903049587698,0.15884679896866138,1218.7616236115148
1,2.498783210682074,265.35996849082863,499.01166080499013,0.8334825418235877,0.03803754231446963,1218.8856473353371
1,2.878996265468949,124.72220708964844,495.4868131052323,0.41630345309154554,0.009054219171446541,1218.9162779957412
1,3.08633482448167,82.63516441049832,494.35271945677624,0.2926108158637741,0.004291372947288521,1218.921566463624
1,3.3577937737005983,48.201899731869084,493.33567665577306,0.19181709223590643,0.0017188284097209247,1218.9246061471638
1,3.554354591023381,32.62936488234002,492.81048620418113,0.14635537199466986,0.0009438680074123215,1218.9256195811183
1,3.83264460008329,18.777014827741947,492.25150574185847,0.10597987934394684,0.0004557272211632872,1218.9263581909688
1,4.03401796773543,12.58707205355327,491.933279062412,0.08795627601605768,0.0002983956952241247,1218.9266560405943
1,4.2515036678938785,8.17477792612639,491.6407010487226,0.07511329975830923,0.0002090158810813981,1218.9268730550773
1,4.618585973495317,3.943958613008496,491.2192083117884,0.06279508096937719,0.00014088299365727205,1218.9271224765334
1,4.78673325155533,2.8241543470766453,491.0445526633486,0.0595306358466036,0.00012570140171412717,1218.927212010523
1,5.073689394961143,1.5976205047043093,490.76192977797155,0.05594731712517152,0.00011042100959826598,1218.9273468958368
1,5.198893998035858,1.2457511996472228,490.6427619092825,0.054915824338592226,0.00010629143940721122,1218.927401256449
1,5.548687242331877,0.6220019833935969,490.318009646277,0.05307626194940221,9.923549305529056e-05,1218.9275447943853
1,5.884816734578482,0.319164986359698,490.0127626671989,0.05216828709906173,9.591298120036382e-05,1218.9276760583682
1,6.056627567476368,0.22690260842894425,489.8582054928994,0.051885359443337206,9.490614631094695e-05,1218.927741772536
